plot_id,range,plot,tray_row,tray_id,seed_id,seed_name,pedigree
13RPN_TRAY005_C01_R4,1,19,4,13RPN_TRAY005,11ASH90002B,Scout 66,Scout 66
13RPN_TRAY005_C01_R6,1,20,6,13RPN_TRAY005,11ASH90002B,TAM-107,TAM-107
13RPN_TRAY006_C01_R1,2,21,1,13RPN_TRAY006,11ASH90002B,SD05W140,SD98153/WENDY
13RPN_TRAY006_C01_R3,2,22,3,13RPN_TRAY006,11ASH90002B,SD02804-1,Romania42/Tandem//SD94149
13RPN_TRAY006_C01_R4,2,23,4,13RPN_TRAY006,11ASH90002B,SD05004,ERYT26221/SD94149//SD98208
13RPN_TRAY006_C01_R6,2,24,6,13RPN_TRAY006,11ASH90002B,SD05118,Wesley/NE93613
13RPN_TRAY007_C01_R1,2,25,1,13RPN_TRAY007,11ASH90002B,SD03164-2,89118RC1-X-9-3-3/TX96D2845//Expedition
13RPN_TRAY007_C01_R3,2,26,3,13RPN_TRAY007,11ASH90002B,SD05118,Wesley/NE93613
13RPN_TRAY007_C01_R4,2,27,4,13RPN_TRAY007,11ASH90002B,SD05210,SD98444/SD97060
13RPN_TRAY007_C01_R6,2,28,6,13RPN_TRAY007,11ASH90002B,SD05W030,SD98W302/NW97S186
13RPN_TRAY008_C01_R1,2,29,1,13RPN_TRAY008,11ASH90002B,Antelope,Antelope
13RPN_TRAY008_C01_R3,2,30,3,13RPN_TRAY008,11ASH90002B,Wesley,Wesley
13RPN_TRAY008_C01_R4,2,31,4,13RPN_TRAY008,11ASH90002B,Jerry,Jerry
13RPN_TRAY008_C01_R6,2,32,6,13RPN_TRAY008,11ASH90002B,NX05M4180-6,92201D5-2-29 X 99 waxy bulk
13RPN_TRAY009_C01_R1,2,33,1,13RPN_TRAY009,11ASH90002B,NW04Y2188,MO8/REDLAND//KS91H184/3*RIO BLANCO
13RPN_TRAY009_C01_R3,2,34,3,13RPN_TRAY009,11ASH90002B,HV9W04-1186W,XH1881/98HW423
13RPN_TRAY009_C01_R4,2,35,4,13RPN_TRAY009,11ASH90002B,HV9W04-1594R,KS89180B-2-1-1/CMBW91M02959T//JGR
13RPN_TRAY009_C01_R6,2,36,6,13RPN_TRAY009,11ASH90002B,HV9W03-1596R,B1397-1/WGRC33
13RPN_TRAY010_C01_R1,2,37,1,13RPN_TRAY010,11ASH90002B,KS010990M~8,Trego/Ventnor//KS940786-6-4
13RPN_TRAY010_C01_R3,2,38,3,13RPN_TRAY010,11ASH90002B,KS06O3A~50-3,OVERLEY*3/AMADINA
13RPN_TRAY010_C01_R4,2,39,4,13RPN_TRAY010,11ASH90002B,KS06O3A~58-2,OVERLEY*3/AMADINA
13RPN_TRAY010_C01_R6,2,40,6,13RPN_TRAY010,11ASH90002B,KS011327M~2,KS940748-2-4/TX97V4311//Overley
13RPN_TRAY011_C01_R1,3,41,1,13RPN_TRAY011,11ASH90002B,TX06A001281,TX98VR8422/U3704A-7-7
13RPN_TRAY011_C01_R3,3,42,3,13RPN_TRAY011,11ASH90002B,TX05V7259,T107//TX78V3620/Ctk78/3/TX87V1233/4/Arap//TX86V1540/T200
13RPN_TRAY011_C01_R4,3,43,4,13RPN_TRAY011,11ASH90002B,TX05A001188,T107//TX98V3620/Ctk78/3/TX87V1233/4/N87V106//TX86V1540/T200
13RPN_TRAY011_C01_R6,3,44,6,13RPN_TRAY011,11ASH90002B,TX07A001505,T107//TX98V3620/Ctk78/3/TX87V1233/4/N87V106//TX86V1540/T200
13RPN_TRAY012_C01_R1,3,45,1,13RPN_TRAY012,11ASH90002B,TX93V4927,TX87V1913/TAM 200
13RPN_TRAY012_C01_R3,3,46,3,13RPN_TRAY012,11ASH90002B,TX92V2519,OK82377/TX81V6603-2
13RPN_TRAY012_C01_R4,3,47,4,13RPN_TRAY012,11ASH90002B,CO890323,TAM 200/TAM 107
13RPN_TRAY012_C01_R6,3,48,6,13RPN_TRAY012,11ASH90002B,CO900166,Harpool Sel./Sandy
13RPN_TRAY013_C01_R1,3,49,1,13RPN_TRAY013,11ASH90002B,TX95V4926,Rio Blanco/Bai Quan #3039
13RPN_TRAY013_C01_R3,3,50,3,13RPN_TRAY013,11ASH90002B,TX95V4933,NE83407/TX88V4834
13RPN_TRAY013_C01_R4,3,51,4,13RPN_TRAY013,11ASH90002B,TX95V5332,TX88V4914/NE83407
13RPN_TRAY013_C01_R6,3,52,6,13RPN_TRAY013,11ASH90002B,TX94V2130,TX85V1326/Karl
13RPN_TRAY014_C01_R1,3,53,1,13RPN_TRAY014,11ASH90002B,G15048,Cebeco/Lilifen//Hail/3/Karl92/4/CO2643//Can/Era
13RPN_TRAY014_C01_R3,3,54,3,13RPN_TRAY014,11ASH90002B,G15011,Sut/*5AG/Max//CIMMYT line/3/Abilene
13RPN_TRAY014_C01_R4,3,55,4,13RPN_TRAY014,11ASH90002B,G15458,Random Mating Population
13RPN_TRAY014_C01_R6,3,56,6,13RPN_TRAY014,11ASH90002B,G15111,Russian Population Selection
13RPN_TRAY015_C01_R1,3,57,1,13RPN_TRAY015,11ASH90002B,Dumas,WI90-425//N84-0758//WI81-297-3
13RPN_TRAY015_C01_R3,3,58,3,13RPN_TRAY015,11ASH90002B,Charter,87PYI140-100/87F27515
13RPN_TRAY015_C01_R4,3,59,4,13RPN_TRAY015,11ASH90002B,Cutter,Jagger/WI89-189-14
13RPN_TRAY015_C01_R6,3,60,6,13RPN_TRAY015,11ASH90002B,Kharkof,Landrace
13RPN_TRAY001_C02_R1,4,61,1,13RPN_TRAY001,12GHT00005B,TX99A0155,OGALLALA/TX90V8410
13RPN_TRAY001_C02_R3,4,62,3,13RPN_TRAY001,12GHT00006B,TX98V9437,MADSEN/TAM-202//TX89V4138
13RPN_TRAY001_C02_R4,4,63,4,13RPN_TRAY001,12GHT00007B,Jagalene,Abilene/Jagger
13RPN_TRAY001_C02_R6,4,64,6,13RPN_TRAY001,12GHT00008B,W99-331,TX91V3308/W93-359
13RPN_TRAY002_C02_R1,4,65,1,13RPN_TRAY002,12GHT00082B,NW97S142-1,KSSB-192-3/NE89529
13RPN_TRAY002_C02_R3,4,66,3,13RPN_TRAY002,12GHT00083B,NW97S139-1,KSSB-192-3/NE89529
13RPN_TRAY002_C02_R4,4,67,4,13RPN_TRAY002,12GHT00084B,NW97S139-2,KSSB-192-3/NE89529
13RPN_TRAY002_C02_R6,4,68,6,13RPN_TRAY002,12GHT00085B,NW99L7068,KS84HW1968*RioBlanco/HBY762A//Halt
13RPN_TRAY003_C02_R1,4,69,1,13RPN_TRAY003,12GHT00207B,Moreland (IDO517),Sn65/II-60-155/Hgl/3/Wrr//KO/PI178383/6/Fcr//Frn/Y/3/Wsr/4/MC/5/Hlg/7/A81665W-45
13RPN_TRAY003_C02_R3,4,70,3,13RPN_TRAY003,12GHT00208B,DW (IDO513),'WAID/2*Borah//Neeley/3/Blizzard
13RPN_TRAY003_C02_R4,4,71,4,13RPN_TRAY003,12GHT00209B,NW97S412-1,KS87809-10/ARAPAHOE
13RPN_TRAY003_C02_R6,4,72,6,13RPN_TRAY003,12GHT00210B,NW97S139-1,KSSB-192-3/NE89529
13RPN_TRAY004_C02_R1,4,73,1,13RPN_TRAY004,12GHT00280B,T149,T118//T812*2/Karl
13RPN_TRAY004_C02_R3,4,74,3,13RPN_TRAY004,12GHT00282B,KS02HW34 = Danby,TREGO/JGR 8W
13RPN_TRAY004_C02_R4,4,75,4,13RPN_TRAY004,12GHT00283B,KS02HW35-5,TREGO/JGR 8W
13RPN_TRAY004_C02_R6,4,76,6,13RPN_TRAY004,12GHT00284B,KS03HW158,TREGO/CO960293
13RPN_TRAY005_C02_R1,4,77,1,13RPN_TRAY005,12GHT00358B,Trego,Trego
13RPN_TRAY005_C02_R3,4,78,3,13RPN_TRAY005,12GHT00359B,KS03HW6-6CL,FIDEL/97HW150//97HW349/3/TGO
13RPN_TRAY005_C02_R4,4,79,4,13RPN_TRAY005,12GHT00360B,OK01420,KS93U206/Jagger
13RPN_TRAY005_C02_R6,4,80,6,13RPN_TRAY005,12GHT00361B,OK00310-367101,Jagger/Custer
13RPN_TRAY006_C02_R1,5,81,1,13RPN_TRAY006,12GHT00430B,SD05179,SD98224/OK95548-26
13RPN_TRAY006_C02_R3,5,82,3,13RPN_TRAY006,12GHT00431B,SD05210,SD98444/SD97060
13RPN_TRAY006_C02_R4,5,83,4,13RPN_TRAY006,12GHT00432B,BZ9W02-2051,Meridian/Ike
13RPN_TRAY006_C02_R6,5,84,6,13RPN_TRAY006,12GHT00433B,NX03Y2489,BaiHuo/Kanto107//Ike/3/KS91H184/3*RBL//N87V106
13RPN_TRAY007_C02_R1,5,85,1,13RPN_TRAY007,12GHT00502B,N98L20040-44,CS/PI467024//CS/3/SXLD/4/TAM202/5/SXLD
13RPN_TRAY007_C02_R3,5,86,3,13RPN_TRAY007,12GHT00503B,NX03Y2489,BaiHuo/Kanto107//Ike/3/KS91H184/3*RBL//N87V106
13RPN_TRAY007_C02_R4,5,87,4,13RPN_TRAY007,12GHT00504B,NX04Y2107,NW98S061/99Y1442
13RPN_TRAY007_C02_R6,5,88,6,13RPN_TRAY007,12GHT00505B,NW04Y2188,MO8/REDLAND//KS91H184/3*RIO BLANCO
13RPN_TRAY008_C02_R1,5,89,1,13RPN_TRAY008,12GHT00567B,NX05M4499-1,Cimarron/RB//BaiHuo4/L910114/3/Ks87809-10/Arapahoe//P2737w
13RPN_TRAY008_C02_R3,5,90,3,13RPN_TRAY008,12GHT00568B,AP00x0100-51,W95-301/W98-151
13RPN_TRAY008_C02_R4,5,91,4,13RPN_TRAY008,12GHT00569B,NW04Y2188,MO8/REDLAND//KS91H184/3*RIO BLANCO
13RPN_TRAY008_C02_R6,5,92,6,13RPN_TRAY008,12GHT00570B,LE1911,KS92WGRC15/CDC Kestrel//CDC Falcon
13RPN_TRAY009_C02_R1,5,93,1,13RPN_TRAY009,12GHT00639B,HV9W05-1125R,00KSULR-73/G980039
13RPN_TRAY009_C02_R3,5,94,3,13RPN_TRAY009,12GHT00640B,Kharkof,Kharkof
13RPN_TRAY009_C02_R4,5,95,4,13RPN_TRAY009,12GHT00641B,Overland,Overland
13RPN_TRAY009_C02_R6,5,96,6,13RPN_TRAY009,12GHT00642B,Wesley,Wesley
13RPN_TRAY010_C02_R1,5,97,1,13RPN_TRAY010,12GHT00711B,OK07209,OK93P656-(RMH 3299)/OK99621  F4:10
13RPN_TRAY010_C02_R3,5,98,3,13RPN_TRAY010,12GHT00712B,TX05A001822,2145/X940786-6-7
13RPN_TRAY010_C02_R4,5,99,4,13RPN_TRAY010,12GHT00713B,TX06A001263,TX97V3006/TX98V6239
13RPN_TRAY010_C02_R6,5,100,6,13RPN_TRAY010,12GHT00714B,TX06A001132,HBG0358/4/T107//TX78V3620/Ctk78/3/TX87V1233
13RPN_TRAY011_C02_R1,6,101,1,13RPN_TRAY011,12GHT00873B,TX03A0563-07AZHR247,X96V107/OGALLALA
13RPN_TRAY011_C02_R3,6,102,3,13RPN_TRAY011,12GHT00874B,TX07A001118,Composite
13RPN_TRAY011_C02_R4,6,103,4,13RPN_TRAY011,12GHT00875B,TX07A001305,TX98A0212/T-110
13RPN_TRAY011_C02_R6,6,104,6,13RPN_TRAY011,12GHT00876B,TX06V7266,TX99U8617/TX97U2001
13RPN_TRAY012_C02_R1,6,105,1,13RPN_TRAY012,12GHT00951B,2137,W2440/W9488A//2163
13RPN_TRAY012_C02_R3,6,106,3,13RPN_TRAY012,12GHT00952B,KS93U206,TAM 107*3/TA2460
13RPN_TRAY012_C02_R4,6,107,4,13RPN_TRAY012,12GHT00953B,KS91H153-2,HF5761/TAM-105//Bounty Hybrid 203
13RPN_TRAY012_C02_R6,6,108,6,13RPN_TRAY012,12GHT00954B,N93L058,KS831936-3//Colt/Cody
13RPN_TRAY013_C02_R1,6,109,1,13RPN_TRAY013,12GHT01026B,CO910424,Mesa/Carson
13RPN_TRAY013_C02_R3,6,110,3,13RPN_TRAY013,12GHT01027B,CO920696,Yuma/TAM-107
13RPN_TRAY013_C02_R4,6,111,4,13RPN_TRAY013,12GHT01028B,Yumar,"Yuma/PI 372129,F1//CO850034/3/4*Yuma"
13RPN_TRAY013_C02_R6,6,112,6,13RPN_TRAY013,12GHT01029B,KS94H147,KS87H22/Mesa
13RPN_TRAY014_C02_R1,6,113,1,13RPN_TRAY014,12GHT01117B,Kharkof,Landrace
13RPN_TRAY014_C02_R3,6,114,3,13RPN_TRAY014,12GHT01118B,Scout 66,Scout Selection
13RPN_TRAY014_C02_R4,6,115,4,13RPN_TRAY014,12GHT01119B,TAM 107,TAM 105*4/Amigo
13RPN_TRAY014_C02_R6,6,116,6,13RPN_TRAY014,12GHT01120B,Ok101,OK87W663/Mesa//2180
13RPN_TRAY015_C02_R1,6,117,1,13RPN_TRAY015,12GHT01204B,TAM 107,TAM 105*4/Amigo
13RPN_TRAY015_C02_R3,6,118,3,13RPN_TRAY015,12GHT01207B,TAM 111,TAM-107//TX78V3630/CTK78/3/TX87V1233
13RPN_TRAY015_C02_R4,6,119,4,13RPN_TRAY015,12GHT01208B,TX97A0122,TX88V4328/TX87V1613//TX87V1233-1
13RPN_TRAY015_C02_R6,6,120,6,13RPN_TRAY015,12GHT01209B,TX97A0219,TX71562-6*4/AMI*4//LGO/3/NE86582
13RPN_TRAY001_C03_R1,7,121,1,13RPN_TRAY001,12GHT00009B,W99-259-8,KS86231B-10-1/KS85W663-7-4-2//Ogallala
13RPN_TRAY001_C03_R3,7,122,3,13RPN_TRAY001,12GHT00010B,Kharkof,Landrace
13RPN_TRAY001_C03_R4,7,123,4,13RPN_TRAY001,12GHT00011B,Scout 66,Scout Selection
13RPN_TRAY001_C03_R6,7,124,6,13RPN_TRAY001,12GHT00012B,TAM 107,TAM 105*4/Amigo
13RPN_TRAY002_C03_R1,7,125,1,13RPN_TRAY002,12GHT00086B,NW99L7083,KS84HW1968*RioBlanco/HBY762A//Halt
13RPN_TRAY002_C03_R3,7,126,3,13RPN_TRAY002,12GHT00087B,NW99L7171,VH09553-753/N91L019//AP-WI89-163
13RPN_TRAY002_C03_R4,7,127,4,13RPN_TRAY002,12GHT00088B,NW98S097,WA691213-27/N86L177//AP-WI89-163
13RPN_TRAY002_C03_R6,7,128,6,13RPN_TRAY002,12GHT00089B,NW97S218-lt,NW97S218 (KS85W663-1-1/KARL92) selection
13RPN_TRAY003_C03_R1,7,129,1,13RPN_TRAY003,12GHT00211B,NW98S097,WA691213-27/N86L177//AP-WI89-163
13RPN_TRAY003_C03_R3,7,130,3,13RPN_TRAY003,12GHT00212B,NW97S218-lt,NW97S218 (KS85W663-1-1/KARL92) selection
13RPN_TRAY003_C03_R4,7,131,4,13RPN_TRAY003,12GHT00213B,NW98S104,KS91H184/3*RBL//N87V106
13RPN_TRAY003_C03_R6,7,132,6,13RPN_TRAY003,12GHT00214B,N02Y5065,YUMA//T-57/3/LAMAR/4/4*YUMA/5/(KS91H184/ARLIN S/KS91HW29//NE89526)
13RPN_TRAY004_C03_R1,7,133,1,13RPN_TRAY004,12GHT00285B,OK93P656H3299-2C04,WO405D/HGF112//W7469C/HCF012
13RPN_TRAY004_C03_R3,7,134,3,13RPN_TRAY004,12GHT00287B,OK00421,Tonkawa/GK50
13RPN_TRAY004_C03_R4,7,135,4,13RPN_TRAY004,12GHT00289B,OK01817,OK94P549/Custer
13RPN_TRAY004_C03_R6,7,136,6,13RPN_TRAY004,12GHT00290B,OK01307,OK94406/Jagger
13RPN_TRAY005_C03_R1,7,137,1,13RPN_TRAY005,12GHT00362B,OK00224-36805,OK91724/2180//Pecos
13RPN_TRAY005_C03_R3,7,138,3,13RPN_TRAY005,12GHT00363B,OK02405,Tonkawa/GK50
13RPN_TRAY005_C03_R4,7,139,4,13RPN_TRAY005,12GHT00364B,OK02522W,KS96WGRC39/Jagger
13RPN_TRAY005_C03_R6,7,140,6,13RPN_TRAY005,12GHT00365B,T150,T81/T201
13RPN_TRAY006_C03_R1,8,141,1,13RPN_TRAY006,12GHT00434B,NWX03Y2459,BaiHuoMai/Ike//KS91H184/3*RBL//N87V106
13RPN_TRAY006_C03_R3,8,142,3,13RPN_TRAY006,12GHT00435B,MT0419,Erhardt/KS92H21-4//Pronghorn
13RPN_TRAY006_C03_R4,8,143,4,13RPN_TRAY006,12GHT00436B,MTCL0477,MT9409*2/IMIBC303-9(TAM 110's'*4/FS2)//Neeley
13RPN_TRAY006_C03_R6,8,144,6,13RPN_TRAY006,12GHT00437B,MT0495,MT9640/NB1133
13RPN_TRAY007_C03_R1,8,145,1,13RPN_TRAY007,12GHT00506B,HV9W03-1379R,B1127/3/B1551W//ROWDY/RWA 671 MONT
13RPN_TRAY007_C03_R3,8,146,3,13RPN_TRAY007,12GHT00507B,NE02533,NE94458 (=GK-SAGVARI/COLT//NE86582)/JAGGER
13RPN_TRAY007_C03_R4,8,147,4,13RPN_TRAY007,12GHT00508B,NE02558,JAGGER/ALLIANCE
13RPN_TRAY007_C03_R6,8,148,6,13RPN_TRAY007,12GHT00509B,NW03666,N94S097KS/NE93459
13RPN_TRAY008_C03_R1,8,149,1,13RPN_TRAY008,12GHT00571B,NE04490,NE95589/NE94632(=ABILENE/NORKAN//RAWHIDE)//NE95510 (=ABILENE/ARAPAHOE)
13RPN_TRAY008_C03_R3,8,150,3,13RPN_TRAY008,12GHT00572B,NE05548,NE97426 (=BRIGANTINA.2*ARAPAHOE)/NE98574 (=CO850267/RAWHIDE)
13RPN_TRAY008_C03_R4,8,151,4,13RPN_TRAY008,12GHT00573B,NE05549,NI98414 (=NE90614/NE87612//NE87612)/WESLEY
13RPN_TRAY008_C03_R6,8,152,6,13RPN_TRAY008,12GHT00574B,NE06469,Unknown
13RPN_TRAY009_C03_R1,8,153,1,13RPN_TRAY009,12GHT00643B,Jerry,Jerry
13RPN_TRAY009_C03_R3,8,154,3,13RPN_TRAY009,12GHT00644B,NX05M4180-6,92201D5-2-29 X 99 waxy bulk
13RPN_TRAY009_C03_R4,8,155,4,13RPN_TRAY009,12GHT00645B,NE06469,UNK
13RPN_TRAY009_C03_R6,8,156,6,13RPN_TRAY009,12GHT00646B,NE06607,NE98466=(KS89H50-4/NE90518(=BRL//SXL/BENN))/WESLEY
13RPN_TRAY010_C03_R1,8,157,1,13RPN_TRAY010,12GHT00715B,TX06A001281,TX98VR8422/U3704A-7-7
13RPN_TRAY010_C03_R3,8,158,3,13RPN_TRAY010,12GHT00716B,TX06A001386,TX99A6030/CUSTER
13RPN_TRAY010_C03_R4,8,159,4,13RPN_TRAY010,12GHT00717B,TX05V7259,T107//TX78V3620/Ctk78/3/TX87V1233/4/Arap//TX86V1540/T200
13RPN_TRAY010_C03_R6,8,160,6,13RPN_TRAY010,12GHT00718B,TX05V7269,HBG0358/4/T107//TX78V3620/Ctk78/3/TX87V1233
13RPN_TRAY011_C03_R1,9,161,1,13RPN_TRAY011,12GHT00877B,CO050322,CO980829/TAM 111
13RPN_TRAY011_C03_R3,9,162,3,13RPN_TRAY011,12GHT00878B,CO05W111,CO980829/TAM 111
13RPN_TRAY011_C03_R4,9,163,4,13RPN_TRAY011,12GHT00879B,Scout 66,Scout Selection
13RPN_TRAY011_C03_R6,9,164,6,13RPN_TRAY011,12GHT00880B,TAM 107,TAM 105*4/Amigo
13RPN_TRAY012_C03_R1,9,165,1,13RPN_TRAY012,12GHT00955B,NE91651,NE82671/NE80413
13RPN_TRAY012_C03_R3,9,166,3,13RPN_TRAY012,12GHT00956B,NE90476,Bennett/Brule Composite
13RPN_TRAY012_C03_R4,9,167,4,13RPN_TRAY012,12GHT00957B,NE92458,OK83201/Redland
13RPN_TRAY012_C03_R6,9,168,6,13RPN_TRAY012,12GHT00958B,NE92614,Centura/RL820003
13RPN_TRAY013_C03_R1,9,169,1,13RPN_TRAY013,12GHT01030B,KS941064-6,Karl/HBY385D//2163
13RPN_TRAY013_C03_R3,9,170,3,13RPN_TRAY013,12GHT01031B,KS940935-125-5-2,2180/Karl//2163
13RPN_TRAY013_C03_R4,9,171,4,13RPN_TRAY013,12GHT01032B,KS85W663-11-6-MB,KS82W422/SWM754308//KS831182/KS82W422
13RPN_TRAY013_C03_R6,9,172,6,13RPN_TRAY013,12GHT01035B,KS84W063-9-39-3-MB,KS82W418/Stephens
13RPN_TRAY014_C03_R1,9,173,1,13RPN_TRAY014,12GHT01122B,OK96717,Abilene/2180//Chisholm
13RPN_TRAY014_C03_R3,9,174,3,13RPN_TRAY014,12GHT01124B,OK95548-26C,OK86216/Cimarron sib//2180
13RPN_TRAY014_C03_R4,9,175,4,13RPN_TRAY014,12GHT01125B,TX93D2066,TAM-301//TAM-108/Bobwhite
13RPN_TRAY014_C03_R6,9,176,6,13RPN_TRAY014,12GHT01126B,TX95D8283,TX90D9377/Probrand 812
13RPN_TRAY015_C03_R1,9,177,1,13RPN_TRAY015,12GHT01210B,TX97A0244,TAM-105*4/AMI*5//LGO/3/STURDY
13RPN_TRAY015_C03_R3,9,178,3,13RPN_TRAY015,12GHT01211B,TX97D6377,HBG026+NE78659*Arkan/2180
13RPN_TRAY015_C03_R4,9,179,4,13RPN_TRAY015,12GHT01212B,TAM 303,TX89D1253*2/TTCC404
13RPN_TRAY015_C03_R6,9,180,6,13RPN_TRAY015,12GHT01213B,TX98V9315,U1254-4-7-2/Dong Xie 4
13RPN_TRAY001_C04_R1,10,181,1,13RPN_TRAY001,12GHT00013B,Trego,KS87H325/Rio Blanco
13RPN_TRAY001_C04_R3,10,182,3,13RPN_TRAY001,12GHT00014B,Tarkio,OK90604/KS6397//Snowwhite
13RPN_TRAY001_C04_R4,10,183,4,13RPN_TRAY001,12GHT00015B,G982238-2,N87V107/BETTY
13RPN_TRAY001_C04_R6,10,184,6,13RPN_TRAY001,12GHT00016B,G991324,97 8/64 MASA (BULK SELECTION)
13RPN_TRAY002_C04_R1,10,185,1,13RPN_TRAY002,12GHT00090B,NE99495,ALLIANCE/KARL 92
13RPN_TRAY002_C04_R3,10,186,3,13RPN_TRAY002,12GHT00091B,NI01808,KS831936-3/NE86501/3/SENTRY/ LEWJAIN/2/WA007432
13RPN_TRAY002_C04_R4,10,187,4,13RPN_TRAY002,12GHT00092B,NI01824,INTENSIVNAJA/NE92458 (=OK83201/REDLAND)//VBF0168
13RPN_TRAY002_C04_R6,10,188,6,13RPN_TRAY002,12GHT00093B,NE99464,NE86606/RAWHIDE//ABILENE
13RPN_TRAY003_C04_R1,10,189,1,13RPN_TRAY003,12GHT00215B,N02Y5072,YUMA//T-57/3/LAMAR/4/4*YUMA/5/(KS91H184/ARLIN S/KS91HW29//NE89526)
13RPN_TRAY003_C04_R3,10,190,3,13RPN_TRAY003,12GHT00216B,N02Y5075,YUMA//T-57/3/LAMAR/4/4*YUMA/5/(KS91H184/ARLIN S/KS91HW29//NE89526)
13RPN_TRAY003_C04_R4,10,191,4,13RPN_TRAY003,12GHT00217B,N02Y5078,YUMA//T-57/3/LAMAR/4/4*YUMA/5/(KS91H184/ARLIN S/KS91HW29//NE89526)
13RPN_TRAY003_C04_R6,10,192,6,13RPN_TRAY003,12GHT00218B,N02Y5106,YUMA//T-57/3/CO850034/4/4*YUMA/5/KS91H184/ARLIN S/KS91HW29//NE89526)
13RPN_TRAY004_C04_R1,10,193,1,13RPN_TRAY004,12GHT00291B,OK98G508W-4C04,Rio Blanco/KSWGRC10
13RPN_TRAY004_C04_R3,10,194,3,13RPN_TRAY004,12GHT00292B,TX00D1390,TX89D1253*2/TTCC404 (=WX93D208-9-1-17-13)
13RPN_TRAY004_C04_R4,10,195,4,13RPN_TRAY004,12GHT00293B,TX01D3232,TX92U3060/TX91D6564 (=X95U104-P66)
13RPN_TRAY004_C04_R6,10,196,6,13RPN_TRAY004,12GHT00294B,TX01V5314,TX89V4132/704 L I-2221
13RPN_TRAY005_C04_R1,10,197,1,13RPN_TRAY005,12GHT00366B,T151,T81/KS93U206
13RPN_TRAY005_C04_R3,10,198,3,13RPN_TRAY005,12GHT00367B,T152,T88/2180//T811
13RPN_TRAY005_C04_R4,10,199,4,13RPN_TRAY005,12GHT00368B,T153,T136//T81/KS93U206
13RPN_TRAY005_C04_R5,10,200,6,13RPN_TRAY005,12GHT00368B,NE99495,ALLIANCE/KARL 92
